term,PCA dim
dyrare,-0.3576
tyska,-0.3585
föregående,-0.3591
önskan,-0.3600
skall,-0.3617
väsentliga,-0.3669
relevant,-0.3675
bygga,-0.3676
vore,-0.3681
vägrade,-0.3699
frånvaro,-0.3707
sade,-0.3721
ap,-0.3741
härmed,-0.3759
påpeka,-0.3769
genererar,-0.3772
återkomma,-0.3780
1950,-0.3780
konstaterade,-0.3788
uppenbarligen,-0.3790
vettig,-0.3824
betydande,-0.3828
sådant,-0.3855
råder,-0.3856
föga,-0.3864
huruvida,-0.3873
skadlig,-0.3888
syftar,-0.3891
knappast,-0.3894
tycks,-0.3899
uppenbara,-0.3917
följaktligen,-0.3921
positivt,-0.3955
förnuftig,-0.3971
leder,-0.3975
skadliga,-0.4015
tydliga,-0.4030
inblandade,-0.4040
nogsamt,-0.4085
uppmuntrar,-0.4106
befintliga,-0.4139
fungerande,-0.4148
huvudsyftet,-0.4164
lagligt,-0.4181
inom,-0.4186
turkiska,-0.4192
mot,-0.4210
besvärande,-0.4210
ingalunda,-0.4230
stänga,-0.4265
2009,-0.4359
onödig,-0.4365
arabiska,-0.4374
förbättra,-0.4381
1991,-0.4383
fler,-0.4430
poängen,-0.4432
utgör,-0.4435
självklarhet,-0.4435
löses,-0.4443
2011,-0.4469
lyder,-0.4490
givet,-0.4492
räknade,-0.4497
därtill,-0.4515
vilande,-0.4516
talet,-0.4518
säkerställer,-0.4536
värre,-0.4550
sämre,-0.4564
acceptabel,-0.4565
merparten,-0.4570
sker,-0.4585
läst,-0.4594
bemärkelse,-0.4636
gjorts,-0.4653
fokusera,-0.4668
framgångsrikt,-0.4673
bör,-0.4675
våren,-0.4678
person,-0.4686
tydligt,-0.4688
återstår,-0.4692
talar,-0.4698
tvivlar,-0.4707
stimulerar,-0.4710
misslyckas,-0.4725
välkomnar,-0.4726
avsevärt,-0.4738
huvuddelen,-0.4746
övriga,-0.4748
kraftiga,-0.4771
2006,-0.4773
poäng,-0.4782
obefintlig,-0.4782
anledning,-0.4797
bemärkelsen,-0.4799
åstadkommit,-0.4805
historiskt,-0.4806
ursäkta,-0.4806
fokus,-0.4806
sägas,-0.4806
kr,-0.4807
lyfter,-0.4827
självt,-0.4841
alltså,-0.4872
noll,-0.4877
emot,-0.4883
jobbar,-0.4887
ordagrant,-0.4896
misslyckades,-0.4907
oklart,-0.4908
sannolikt,-0.4918
meddela,-0.4940
valmöjligheter,-0.4946
verklig,-0.4950
alltför,-0.4968
ska,-0.4983
arbetar,-0.5020
2008,-0.5037
extrem,-0.5041
fristående,-0.5047
juli,-0.5056
vittnar,-0.5061
1994,-0.5077
spara,-0.5084
styr,-0.5087
bestämmer,-0.5091
skapa,-0.5094
vilja,-0.5099
möjliggör,-0.5101
motsatta,-0.5111
faktum,-0.5117
innerligt,-0.5120
garanti,-0.5128
ihjäl,-0.5138
hindrar,-0.5149
kreativitet,-0.5163
tillfört,-0.5165
slarvar,-0.5168
högsta,-0.5179
decennium,-0.5202
högst,-0.5211
anmärkningsvärt,-0.5213
märkligt,-0.5215
grunden,-0.5220
gröna,-0.5226
herr,-0.5235
kollega,-0.5261
antydde,-0.5278
välskötta,-0.5288
alternativet,-0.5289
2013,-0.5315
således,-0.5323
1992,-0.5326
snarare,-0.5346
1993,-0.5348
2007,-0.5354
möjligheten,-0.5354
accepterar,-0.5366
nämner,-0.5376
citerar,-0.5387
därför,-0.5392
anger,-0.5401
närvaro,-0.5411
kommentera,-0.5418
logiskt,-0.5420
de,-0.5431
utlovat,-0.5438
bestämma,-0.5470
måste,-0.5500
synnerligen,-0.5512
stackars,-0.5561
nämnda,-0.5566
återgår,-0.5567
höga,-0.5568
förstår,-0.5568
förbättrar,-0.5582
styrde,-0.5583
dåliga,-0.5586
sades,-0.5589
synnerhet,-0.5597
ofullständiga,-0.5614
onekligen,-0.5626
seriösa,-0.5627
green,-0.5643
skulle,-0.5647
säga,-0.5650
tror,-0.5650
tacka,-0.5652
problem,-0.5662
förvisso,-0.5669
skada,-0.5673
2012,-0.5677
behövs,-0.5702
egendomligt,-0.5708
avsaknaden,-0.5709
dvs,-0.5713
ja,-0.5714
möjligen,-0.5720
producent,-0.5735
anges,-0.5735
åtminstone,-0.5739
konventionella,-0.5742
kostar,-0.5742
tisdags,-0.5763
centrala,-0.5770
senaste,-0.5786
förtjänar,-0.5798
hon,-0.5800
1970,-0.5825
vettigt,-0.5832
landar,-0.5839
fru,-0.5842
nya,-0.5843
effektivt,-0.5872
jo,-0.5884
godkänt,-0.5887
hur,-0.5893
avstånd,-0.5894
1,-0.5902
återigen,-0.5923
slutna,-0.5928
rätt,-0.5931
1980,-0.5933
förhindrar,-0.5956
inre,-0.5958
internet,-0.5970
samtliga,-0.5972
substans,-0.5974
vinnande,-0.5985
nämnts,-0.5986
prata,-0.5991
skapar,-0.6034
ringa,-0.6035
rejäla,-0.6035
vänster,-0.6040
icke,-0.6044
80,-0.6049
står,-0.6058
omedelbart,-0.6062
minst,-0.6075
trots,-0.6084
vårt,-0.6093
välgörande,-0.6095
han,-0.6096
lova,-0.6102
önskemål,-0.6109
likväl,-0.6126
frågar,-0.6126
slår,-0.6128
nu,-0.6131
dyrt,-0.6138
vad,-0.6149
åter,-0.6149
häromveckan,-0.6155
viss,-0.6158
fritt,-0.6173
kreativa,-0.6180
varning,-0.6181
förra,-0.6190
förmodar,-0.6215
väljer,-0.6243
detta,-0.6260
yttre,-0.6282
försökte,-0.6292
fokuserar,-0.6312
däremot,-0.6315
vårda,-0.6317
återställa,-0.6319
ingenting,-0.6324
frågat,-0.6331
dyra,-0.6331
tydligen,-0.6332
eventuellt,-0.6342
möjlighet,-0.6343
följande,-0.6343
tackar,-0.6350
åtskilliga,-0.6359
svag,-0.6361
tv,-0.6367
viktigt,-0.6381
förmåga,-0.6388
övrig,-0.6393
uppvisar,-0.6405
kunnat,-0.6410
vi,-0.6415
hoppas,-0.6425
betydligt,-0.6426
om,-0.6429
undrar,-0.6442
etcetera,-0.6449
komma,-0.6450
utgångspunkt,-0.6451
vidare,-0.6456
princip,-0.6460
förvåning,-0.6461
saknas,-0.6464
sedermera,-0.6471
film,-0.6508
fel,-0.6531
nyttja,-0.6538
övrigt,-0.6551
delvis,-0.6558
dag,-0.6563
få,-0.6588
att,-0.6589
lade,-0.6591
talas,-0.6597
eget,-0.6607
1988,-0.6618
tycker,-0.6621
vill,-0.6705
må,-0.6707
dubbelt,-0.6725
